"Note: variables that are named the same were recorded across multiple time points. Time point is indicated by a "".x"" at end of each repeated variable, where ""x"" is the corresponding wave of data collection (e.g., PFINeighEmpathy.1, PFINeighEmpathy.2, etc)",,
"Note: first set of variables with no ""."" at the end reflect demographics taken from multiple time points to make a single variable (mostly taken from time 1, 2, and 3)",,
Variable,Label,Values
PFIHumanity3.2,Please indicate how much you agree with the following questions on the scale provided. - I feel that all of humanity's gain is my gain.,
PFIHumanity4.2,Please indicate how much you agree with the following questions on the scale provided. - What is good for my all of humanity is good for me.,
PFIHumanity5.2,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether all of humanity thrives or not.",
PFIHumanitySharedFate.2,Please indicate how much you agree with the following questions on the scale provided. - All of humanity and I rise and fall together,
WillingnessHumanity1.2,"How willing are you to do the following things? - During a winter storm, a displaced person who is not a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?",
WillingnessHumanity2.2,How willing are you to do the following things? - A displaced person who is not a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?,
WillingnessHumanity.2,"How willing are you to do the following things? - A displaced person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
WillingnessHumanity4.2,How willing are you to do the following things? - How willing would you be to help a displaced person who is not a citizen of your own country move boxes into their new apartment?,
RepayHumanity.2,How much repayment or compensation would you expect for helping someone from a displaced person who is not a citizen of your own country?,
NBTHumanity.2,Please indicate your agreement with the following statement. - Helping a displaced person who is not a citizen of your own country when they are in need is the right thing to do.,
NBTHumanity2.2,Please indicate your agreement with the following statement. - I get a strong urge to help when I see that a displaced citizen who is not from my own country is upset.,
PrepTimeCovidnotCOVID.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time on things NOT RELATED to the COVID19",
PrepTimeCovidtracking.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? ",
PrepTimeCovidtalking.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time talking, texting, etc., with family, friends, and coworkers about COVID19 and how to prepare for it",
PrepTimeCovidnewrelationships.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time trying to develop new relationships, or improving existing relationships, with family, friends, neighbors, coworkers, church congregation members, etc.",
PrepTimeCovidmedical.2,,
PrepTimeCovidfood.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on food",
PrepTimeCovidwater.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on water or preparing in case the water supply fails",
PrepTimeCovidpower.2,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time buying supplies in case there is a loss of power from the electrical grid (I.e., buying solar power, generators, batteries)",
PrepTimeCovidhomedefense.2,"Spent time buying supplies for home defense (I.e., guns, ammo, door locks, security systems)",
PrepTimeCovidfinancial.2,"Spent time planning for the possible impact on your business, career, investments, pension, home equity, etc.?",
PrepTimeCovidbarter.2,Spent time stocking up on physical goods that you could trade or barter if things get bad?,
PrepTimeCoridother.2,Spent time on anything else related to preparing for COVID19?,
PrepTimeCorid12TEXT.2,Spent time on anything else related to preparing for COVID19?,
PrepCOVIDPoliticalLeaders.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National political leaders",
PrepCOVIDLocalGov.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local or city government",
PrepCOVIDNationalHealthcare.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National healthcare system",
PrepCOVIDLocalHealthcare.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local healthcare system",
PrepCOVIDNationalMedia.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National media",
PrepCOVIDLocalMedia.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local media",
PrepCOVIDAirline.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Airline transport system",
PrepCOVIDEmployer.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your employer",
PrepCOVIDExtendedFamily.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your extended family (grandparents, parents, aunts, uncles, cousins, in-laws, etc.)",
PrepCOVIDSigOther.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your significant other (boyfriend, girlfriend, wife, husband)",
PrepCOVIDParents.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your parents",
PrepCOVIDSiblings.2,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your siblings (brothers, sisters, etc.)",
Howmuch.2,How much money have you spent on preparations for COVID19?,
currency.2,What type of currency was this?,
CloseFriendPFIEmpathyComposite.2,,
NeighborPFIEmpathyComposite.2,,
HumanityPFIEmpathyComposite.2,,
CloseFriendPFISharedFateComposite.2,,
NeighborPFISharedFateComposite.2,,
HumanityPFISharedFateComposite.2,,
PSScomposite.2,,
AnxietyComposite.2,,
WillingnessNeighborComposite.2,,
WillingnessHumanityComposite.2,,
PerceptionRiskcompositeComposite.2,,
PerceptionManagementcompositeComposite.2,,
DiseaseAvoidanceComposite.2,,
NBTNeighborComposite.2,,
NBTHumanityComposite.2,,
MateSeekingCompositeComposite.2,,
SocialDistanceComposite.2,,
IPAddress.3,IP Address,
Progress.3,Progress,
LocationLatitude.3,Location Latitude,
LocationLongitude.3,Location Longitude,
ZIP.3,What is the zip code of your current residence?,
MateSeeking1.3,Please indicate how much you agree with the following statements on the scale provided. - I spend a lot of time thinking about ways to meet possible dating partners.,
MateSeeking2.3,Please indicate how much you agree with the following statements on the scale provided. - Starting a new romantic/sexual relationship is not a high priority for me.,
Stress.3,How stressed do you currently feel dealing with changes caused by COVID19?,
Anxiety.3,How anxious do you feel when you think about the current events going on in the world?,
PerceptionsRisk.3,Please answer the following questions on the scale provided. - How likely do you think it is that you will become infected with COVID19?,
Riskmanagementtransfer.3,Please indicate how much you agree with the following statements on the scale provided. - I am likely to ask parents or friends for help preparing for the COVID19 pandemic.,
Riskmanagementretention.3,Please indicate how much you agree with the following statements on the scale provided. - I have been stocking up on food and supplies so that I am prepared for the COVID19 pandemic.,
Riskmanagementreduction.3,Please indicate how much you agree with the following statements on the scale provided. - I try to reduce my risk of getting COVID19 by doing things like washing my hands often.,
Riskmanagementavoidance.3,"Please indicate how much you agree with the following statements on the scale provided. - I completely avoid situations that could put me at risk of contracting COVID19, like going to the grocery store when it is crowded.",
FutureWorld.3,Please answer the following questions on the scale provided. - How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,
FoodHave.3,How many days of food do you currently have for your household? Numbers only.,
FoodWant.3,How many days of food would you like to have for your household? Numbers only.,
Back2Normal.3,When do you think life will get back to normal?,
PFINeighEmpathy.3,"Please indicate how much you agree with the following questions on the scale provided. - When my neighborhood succeeds, I feel good.",
PFINeighSharedFate.3,Please indicate how much you agree with the following questions on the scale provided. - My neighborhood and I rise and fall together,
WillingnessNeigh.3,"How willing are you to do the following things? - Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTNeigh.3,Please indicate your agreement with the following statements. - Helping someone from my neighborhood when they are in need is the right thing to do.,
PFIHumanityEmpathy.3,"Please indicate how much you agree with the following questions on the scale provided. - When all of humanity succeeds, I feel good.",
PFIHumanitySharedFate.3,Please indicate how much you agree with the following questions on the scale provided. - All of humanity and I rise and fall together,
WillingnessHumanity.3,"How willing are you to do the following things? - A person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTHumanity.3,Please indicate your agreement with the following statement. - Helping a person who is not a citizen of your own country when they are in need is the right thing to do.,
Isolate1.3,Please answer the following questions on the scale provided. - I can have a significant impact on limiting the spread of the virus by isolating myself at home and washing my hands frequently.,
Isolate2.3,Please answer the following questions on the scale provided. - I can significantly reduce my risk of becoming infected by the virus by isolating myself at home and washing my hands frequently.,
Isolate3.3,Please answer the following questions on the scale provided. - Most people in my community are isolating themselves in their homes.,
Altruistic.3,What is more altruistic at this time?,
HoursworkedOutside.3,"In the last seven days, how many hours have you worked outside your home (in paid employment)? Numbers only.",
HoursWorkHome.3,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)? Numbers only.",
HoursSpentOthers.3,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport? Numbers only.",
HoursInContact.3,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails? Numbers only.",
MoneyDonated.3,"In the last 7 days, how much money have you contributed to charities that try to help people affected by the pandemic? Numbers only.",
aidindividuals.3,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: - Individuals",
aidsmallbusiness.3,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: - Small businesses that employ a few people each",
aidlargebusiness.3,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: - Large businesses that employ many people each",
aidbanks.3,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: - banks that can loan money to people & businesses",
aidgovernment.3,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: - State & local governments",
MostImportant.3,What do you think is the most important thing to do right now?,
discounting.3,"If you could get $1000 from the government in a week or $2000 in the government in a month, which would you prefer?",
MateSeekingComposite.3,,
Riskmanagementcomposite.3,,
Altruistic.recode.3,changing to 3 options,
discounting.recode.3,changing to 3 options,
IPAddress.4,IP Address,
Progress.4,Progress,
LocationLatitude.4,Location Latitude,
LocationLongitude.4,Location Longitude,
ZIP.4,What is the zip code of your current residence?,
MateSeeking1.4,Please indicate how much you agree with the following statements on the scale provided. - I spend a lot of time thinking about ways to meet possible dating partners.,
MateSeeking2.4,Please indicate how much you agree with the following statements on the scale provided. - Starting a new romantic/sexual relationship is not a high priority for me.,
Stress.4,How stressed do you currently feel dealing with changes caused by COVID19?,
Anxiety.4,How anxious do you feel when you think about the current events going on in the world?,
PerceptionsRisk.4,Please answer the following questions on the scale provided. - How likely do you think it is that you will become infected with COVID19?,
Riskmanagementtransfer.4,Please indicate how much you agree with the following statements on the scale provided. - I am likely to ask parents or friends for help preparing for the COVID19 pandemic.,
Riskmanagementretention.4,Please indicate how much you agree with the following statements on the scale provided. - I have been stocking up on food and supplies so that I am prepared for the COVID19 pandemic.,
Riskmanagementreduction.4,Please indicate how much you agree with the following statements on the scale provided. - I try to reduce my risk of getting COVID19 by doing things like washing my hands often.,
Riskmanagementavoidance.4,"Please indicate how much you agree with the following statements on the scale provided. - I completely avoid situations that could put me at risk of contracting COVID19, like going to the grocery store when it is crowded.",
FutureWorld.4,Please answer the following questions on the scale provided. - How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,
FoodHave.4,How many days of food do you currently have for your household? Numbers only.,
FoodWant.4,How many days of food would you like to have for your household? Numbers only.,
Back2Normal.4,When do you think life will get back to normal?,
PFINeighEmpathy.4,"Please indicate how much you agree with the following questions on the scale provided. - When my neighborhood succeeds, I feel good.",
PFINeighSharedFate.4,Please indicate how much you agree with the following questions on the scale provided. - My neighborhood and I rise and fall together,
WillingnessNeigh.4,"How willing are you to do the following things? - Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTNeigh.4,Please indicate your agreement with the following statements. - Helping someone from my neighborhood when they are in need is the right thing to do.,
PFIHumanityEmpathy.4,"Please indicate how much you agree with the following questions on the scale provided. - When all of humanity succeeds, I feel good.",
PFIHumanitySharedFate.4,Please indicate how much you agree with the following questions on the scale provided. - All of humanity and I rise and fall together,
WillingnessHumanity.4,"How willing are you to do the following things? - A person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTHumanity.4,Please indicate your agreement with the following statement. - Helping a person who is not a citizen of your own country when they are in need is the right thing to do.,
Isolate1.4,Please answer the following questions on the scale provided. - I can have a significant impact on limiting the spread of the virus by isolating myself at home and washing my hands frequently.,
Isolate2.4,Please answer the following questions on the scale provided. - I can significantly reduce my risk of becoming infected by the virus by isolating myself at home and washing my hands frequently.,
Isolate3.4,Please answer the following questions on the scale provided. - Most people in my community are isolating themselves in their homes.,
Altruistic.4,What is more altruistic at this time?,
HoursworkedOutside.4,"In the last seven days, how many hours have you worked outside your home (in paid employment)? Numbers only.",
HoursWorkHome.4,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)? Numbers only.",
HoursSpentOthers.4,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport? Numbers only.",
HoursInContact.4,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails? Numbers only.",
MoneyDonated.4,"In the last 7 days, how much money have you contributed to charities that try to help people affected by the pandemic? Numbers only.",
MostImportant.4,What do you think is the most important thing to do right now?,
discounting.4,"If you could get $1000 from the government in a week or $2000 in the government in a month, which would you prefer?",
MateSeekingComposite.4,,
Riskmanagementcomposite.4,,
Altruistic.recode.4,Altruistic with 3 options,
discounting.recode.4,discounting with 3 options,
StartedPreparing.5,Have you started preparing for the Pandemic?,"0 = No, 1 = Yes"
W5eeksAgoPrepare.5,How many weeks ago did you start preparing for the COVID19 pandemic?,
Cause.5,What caused you to start preparing for the pandemic?,
Information1.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information2.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information3.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information4.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information5.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Whatdidyoudo1.5,What did you do to prepare?,
Whatdidyoudo2.5,What did you do to prepare?,
Whatdidyoudo3.5,What did you do to prepare?,
Whatdidyoudo4.5,What did you do to prepare?,
Whatdidyoudo5.5,What did you do to prepare?,
ContractedCovid.5,Have you contracted COVID-19?,"1 = no, 2 = maybe, 3 = yes "
WeeksSinceCovid.5,If yes or maybe how many weeks ago did you contract COVID-19?,
TestedCovid.5,If yes or maybe have you tested positive?,
KnowSomeoneInfected.5,Do you personally know of someone who has contracted COVID-19?,"1 = no, 2 = not sure, 3 = yes"
ShareExp.5,is there anything else you would like to share about yourself or someone you know having or possibly having COVID-19?,
Stress.5,How stressed do you currently feel dealing with changes caused by COVID19?,
PerceptionsRisk.5,How likely do you think it is that you will become infected with COVID19?,
Riskmanagementtransfer.5,I am likely to ask parents or friends for help dealing with the COVID19 pandemic,
Riskmanagementretention.5,I have been stocking up on food and supplies so that I am prepared for the COVID19 pandemic.,
Riskmanagementreduction.5,I try to reduce my risk of getting COVID19 by doing things like washing my hands often,
Riskmanagementavoid.5,"I completely avoid situations that could put me at risk of contracting COVID19, like avoiding going to the grocery store when it is crowded.",
FutureWorld.5,How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,
FoodHave.5,How many days of food do you currently have for your household?,
FoodWant.5,How many days of food would you like to have for your household?,
Back2Normal.5,When do you think life will get back to normal?,
PFINeighEmpathy.5,"When my neighborhood succeeds, I feel good.",
PFINeighSharedFate.5,My neighborhood and I rise and fall together,
WillingnessNeigh.5,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTNeigh.5, Helping someone from my neighborhood when they are in need is the right thing to do.,
PFIHumanityEmpathy.5,"When all of humanity succeeds, I feel good.",
PFIHumanitySharedFate.5, All of humanity and I rise and fall together,
WillingnessHumanity.5,"A person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTHumanity.5,Helping a person who is not a citizen of your own country when they are in need is the right thing to do.,
Isolate1.5, I can have a significant impact on limiting the spread of the virus by isolating myself at home and washing my hands frequently.,
Isolate2.5,I can significantly reduce my own risk of becoming infected by the virus by isolating myself at home and washing my hands frequently.,
Isolate3.5,Most people in my community are isolating themselves in their homes.,
Altruistic.5,What is more altruistic at this time?,
HoursworkedOutside.5,"In the last 7 days, how many hours have you worked outside your home (in paid employment)?",
HoursWorkHome.5,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)?",
HoursSpentOthers.5,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport?",
HoursInContact.5,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails?",
HoursVolunteer.5,"In the last 7 days, how many hours have you volunteered to help people affected by the pandemic?",
MoneyDonated.5,"In the last 7 days, how much money have you contributed to charities that try to help people affected by the pandemic?",
Currency.5,What type of currency was this?,
MostImportant.5,What do you think is the most important thing to do right now?,"1 = reduce global spread of virus, 2 = reduce spread of virus within country, 3 = save lives of people who get sick, 4 = save jobs and businesses disrupted by the pandemic, 5 = help families that have lost jobs and income"
discounting.5,"If you could get $1000 from the government in a week or $2000 in the government in a month, which would you prefer?",
Askingforhelp1.5,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? - Asking for money,
Askingforhelp2.5,ask for up to date information,
Askingforhelp3.5,ask for food supplies,
Askingforhelp4.5,ask for medical advice,
Askingforhelp5.5,ask for medical care,
Askingforhelp6.5,ask for Help with childcare,
Askingforhelp7.5,ask for emotional or psychological support,
Givinghelp1.5,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? - Helping by sending money,
Givinghelp2.5,give with up to date information,
Givinghelp3.5,give Food supplies,
Givinghelp4.5,give medical advice,
Givinghelp5.5,give medical care,
Givinghelp6.5,help with childcare,
Givinghelp7.5,giving emotional or psychological support,
MaskAttitudes1.5,I wear a face mask when going out in public to keep myself from getting sick,
MaskAttitudes2.5,Seeing people in public wearing face masks makes me feel safe,
MaskAttitudes3.5,Seeing people in public wearing face masks makes me feel anxious,
MaskAttitudes4.5,Wearing a face mask when going out in public is the right thing to do,
MaskAttitudes5.5, I wear a face mask when going out in public to prevent others from getting sick in case I may be infected but don't know it yet,
WearMask.5,Are you more or less likely to wear a mask in public than you were 2 weeks ago?,
NeighborMasks.5,Do you see people in your neighborhood wearing face masks more or less now compared to 2 weeks ago?,
ImportantHelp1.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp2.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp3.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp4.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp5.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelpMe1.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe2.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe3.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe4.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe5.5,What are some of the most important ways in which others are helping you during this time?,
StartedPreparing.5,Have you started preparing for the Pandemic?,"0 = No, 1 = Yes"
W5eeksAgoPrepare.5,How many weeks ago did you start preparing for the COVID19 pandemic?,
Cause.5,What caused you to start preparing for the pandemic?,
Information1.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information2.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information3.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information4.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information5.5,"After you decided to begin preparing, where did you seek information about how to prepare?",
Whatdidyoudo1.5,What did you do to prepare?,
Whatdidyoudo2.5,What did you do to prepare?,
Whatdidyoudo3.5,What did you do to prepare?,
Whatdidyoudo4.5,What did you do to prepare?,
Whatdidyoudo5.5,What did you do to prepare?,
ContractedCovid.5,Have you contracted COVID-19?,"1 = no, 2 = maybe, 3 = yes "
WeeksSinceCovid.5,If yes or maybe how many weeks ago did you contract COVID-19?,
TestedCovid.5,If yes or maybe have you tested positive?,
KnowSomeoneInfected.5,Do you personally know of someone who has contracted COVID-19?,"1 = no, 2 = not sure, 3 = yes"
ShareExp.5,is there anything else you would like to share about yourself or someone you know having or possibly having COVID-19?,
Stress.5,How stressed do you currently feel dealing with changes caused by COVID19?,
PerceptionsRisk.5,How likely do you think it is that you will become infected with COVID19?,
Riskmanagementtransfer.5,I am likely to ask parents or friends for help dealing with the COVID19 pandemic,
Riskmanagementretention.5,I have been stocking up on food and supplies so that I am prepared for the COVID19 pandemic.,
Riskmanagementreduction.5,I try to reduce my risk of getting COVID19 by doing things like washing my hands often,
Riskmanagementavoid.5,"I completely avoid situations that could put me at risk of contracting COVID19, like avoiding going to the grocery store when it is crowded.",
FutureWorld.5,How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,
FoodHave.5,How many days of food do you currently have for your household?,
FoodWant.5,How many days of food would you like to have for your household?,
Back2Normal.5,When do you think life will get back to normal?,
PFINeighEmpathy.5,"When my neighborhood succeeds, I feel good.",
PFINeighSharedFate.5,My neighborhood and I rise and fall together,
WillingnessNeigh.5,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTNeigh.5, Helping someone from my neighborhood when they are in need is the right thing to do.,
PFIHumanityEmpathy.5,"When all of humanity succeeds, I feel good.",
PFIHumanitySharedFate.5, All of humanity and I rise and fall together,
WillingnessHumanity.5,"A person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTHumanity.5,Helping a person who is not a citizen of your own country when they are in need is the right thing to do.,
Isolate1.5, I can have a significant impact on limiting the spread of the virus by isolating myself at home and washing my hands frequently.,
Isolate2.5,I can significantly reduce my own risk of becoming infected by the virus by isolating myself at home and washing my hands frequently.,
Isolate3.5,Most people in my community are isolating themselves in their homes.,
Altruistic.5,What is more altruistic at this time?,
HoursworkedOutside.5,"In the last 7 days, how many hours have you worked outside your home (in paid employment)?",
HoursWorkHome.5,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)?",
HoursSpentOthers.5,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport?",
HoursInContact.5,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails?",
HoursVolunteer.5,"In the last 7 days, how many hours have you volunteered to help people affected by the pandemic?",
MoneyDonated.5,"In the last 7 days, how much money have you contributed to charities that try to help people affected by the pandemic?",
Currency.5,What type of currency was this?,
MostImportant.5,What do you think is the most important thing to do right now?,"1 = reduce global spread of virus, 2 = reduce spread of virus within country, 3 = save lives of people who get sick, 4 = save jobs and businesses disrupted by the pandemic, 5 = help families that have lost jobs and income"
discounting.5,"If you could get $1000 from the government in a week or $2000 in the government in a month, which would you prefer?",
Askingforhelp1.5,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? - Asking for money,
Askingforhelp2.5,ask for up to date information,
Askingforhelp3.5,ask for food supplies,
Askingforhelp4.5,ask for medical advice,
Askingforhelp5.5,ask for medical care,
Askingforhelp6.5,ask for Help with childcare,
Askingforhelp7.5,ask for emotional or psychological support,
Givinghelp1.5,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? - Helping by sending money,
Givinghelp2.5,give with up to date information,
Givinghelp3.5,give Food supplies,
Givinghelp4.5,give medical advice,
Givinghelp5.5,give medical care,
Givinghelp6.5,help with childcare,
Givinghelp7.5,giving emotional or psychological support,
MaskAttitudes1.5,I wear a face mask when going out in public to keep myself from getting sick,
MaskAttitudes2.5,Seeing people in public wearing face masks makes me feel safe,
MaskAttitudes3.5,Seeing people in public wearing face masks makes me feel anxious,
MaskAttitudes4.5,Wearing a face mask when going out in public is the right thing to do,
MaskAttitudes5.5, I wear a face mask when going out in public to prevent others from getting sick in case I may be infected but don't know it yet,
WearMask.5,Are you more or less likely to wear a mask in public than you were 2 weeks ago?,
NeighborMasks.5,Do you see people in your neighborhood wearing face masks more or less now compared to 2 weeks ago?,
ImportantHelp1.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp2.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp3.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp4.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelp5.5,What are some of the most important ways in which you are helping others during this time?,
ImportantHelpMe1.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe2.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe3.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe4.5,What are some of the most important ways in which others are helping you during this time?,
ImportantHelpMe5.5,What are some of the most important ways in which others are helping you during this time?,
StartedPreparing.6,Have you started preparing for the Pandemic?,"0 = No, 1 = Yes"
W5eeksAgoPrepare.6,How many weeks ago did you start preparing for the COVID19 pandemic?,
Cause.6,What caused you to start preparing for the pandemic?,
Information1.6,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information2.6,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information3.6,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information4.6,"After you decided to begin preparing, where did you seek information about how to prepare?",
Information5.6,"After you decided to begin preparing, where did you seek information about how to prepare?",
Whatdidyoudo1.6,What did you do to prepare?,
Whatdidyoudo2.6,What did you do to prepare?,
Whatdidyoudo3.6,What did you do to prepare?,
Whatdidyoudo4.6,What did you do to prepare?,
Whatdidyoudo5.6,What did you do to prepare?,
ContractedCovid.6,Have you contracted COVID-19?,"1 = no, 2 = maybe, 3 = yes "
WeeksSinceCovid.6,If yes or maybe how many weeks ago did you contract COVID-19?,
TestedCovid.6,If yes or maybe have you tested positive?,
KnowSomeoneInfected.6,Do you personally know of someone who has contracted COVID-19?,"1 = no, 2 = not sure, 3 = yes"
ShareExp.6,is there anything else you would like to share about yourself or someone you know having or possibly having COVID-19?,
Stress.6,How stressed do you currently feel dealing with changes caused by COVID19?,
PerceptionsRisk.6,How likely do you think it is that you will become infected with COVID19?,
Riskmanagementtransfer.6,I am likely to ask parents or friends for help dealing with the COVID19 pandemic,
Riskmanagementretention.6,I have been stocking up on food and supplies so that I am prepared for the COVID19 pandemic.,
Riskmanagementreduction.6,I try to reduce my risk of getting COVID19 by doing things like washing my hands often,
Riskmanagementavoid.6,"I completely avoid situations that could put me at risk of contracting COVID19, like avoiding going to the grocery store when it is crowded.",
FutureWorld.6,How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,
FoodHave.6,How many days of food do you currently have for your household?,
FoodWant.6,How many days of food would you like to have for your household?,
Back2Normal.6,When do you think life will get back to normal?,
PFINeighEmpathy.6,"When my neighborhood succeeds, I feel good.",
PFINeighSharedFate.6,My neighborhood and I rise and fall together,
WillingnessNeigh.6,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTNeigh.6, Helping someone from my neighborhood when they are in need is the right thing to do.,
PFIHumanityEmpathy.6,"When all of humanity succeeds, I feel good.",
PFIHumanitySharedFate.6, All of humanity and I rise and fall together,
WillingnessHumanity.6,"A person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
NBTHumanity.6,Helping a person who is not a citizen of your own country when they are in need is the right thing to do.,
Isolate1.6, I can have a significant impact on limiting the spread of the virus by isolating myself at home and washing my hands frequently.,
Isolate2.6,I can significantly reduce my own risk of becoming infected by the virus by isolating myself at home and washing my hands frequently.,
Isolate3.6,Most people in my community are isolating themselves in their homes.,
Altruistic.6,What is more altruistic at this time?,
HoursworkedOutside.6,"In the last 7 days, how many hours have you worked outside your home (in paid employment)?",
HoursWorkHome.6,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)?",
HoursSpentOthers.6,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport?",
HoursInContact.6,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails?",
HoursVolunteer.6,"In the last 7 days, how many hours have you volunteered to help people affected by the pandemic?",
